S. No.,source,startupName,website,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
351,VI,LookAtMe,https://lookatmeapp.co,,"Fashion based social media mobile application LookAtMe has raised seed funding round from Eros Labs. The startup plans to infuse raised funds in the team, technology, and growth. Founded by an ex-Paytm executive, Nakul Kapur in June 2016, LookAtMe is a virtual stylist that helps users to shop better. Users can get professional stylists and community members to rate their looks, get advice on what to wear, and even shop directly from the app.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Fashion,,,Delhi,,,Clothing & Accessories,,,,,,,,,,Eros Labs,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,VI,Lucep,,,Lucep is a software product company which is looking to enter the healthcare segment,Technology,Software & Computer Services,Software and Internet Services,,B2B,Notification and follow up ,,,Bengaluru ,,,Communication services,,,,,,,,,,Escape Velocity,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,VI,M Square Design,http://www.msquaredesign.in,,"Space and Industrial Design, 3D Visualizations",Technology,Technology Hardware & Equipment,Technology,,B2B,Space Tech and 3d,,,Bengaluru,,,3D Printing,,,,,,,,,,NDBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,VI,M4Maths,http://www.m4maths.com/,,"M4Maths provides latest placement papers online for several reputed public establishments such as ONGC, BHEL, NTPC, GAIL and private companies such as TCS, Accenture, Infosys, TECH MAHINDRA, IBM, CTS, etc.",Technology,Software & Computer Services,Edu-Tech,,B2C,Placement related help,,,Noida,,,Online courses and resources,,,,,,,,,,Startup Tunnel,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,VI,MaaxMarket,http://www.maaxmarket.com/,,Texas-based MaaxMarket is cloud-based marketing automation platform designed for businesses to automate follow-ups.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Marketing with software,,,Texas,,,Enterprise Software,,,,,,,,,,Amrita - TBI,01/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,VI,Madhu Biogreen Products,,,"Madhu Biogreen Products Pvt. Ltd is a start-up company, formed with the vision to bridge the
demand supply gap of fruits and vegetables in the states of Telangana and Andhra Pradesh by
adopting eco-friendly farming practices. The company also intended for organic waste management
for the production of bio-gas and other organic inputs.
",Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,Fruits and vegetables sale,,,Hyderabad,,,Online Grocery,,,,,,,,,,AIP - ICRISAT,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,VI,Magasool Agro,http://www.magasool.org/,,"Magasool Agro provides to small and marginal farmers specialized agriculture inputs, agri tech and knowledge to improve yield.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Agriculture consultancy,,,Chennai,,,Agriculture Autoomation and Support,,,,,,,,,,IIM-C,09/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,VI,Magellan Life Sciences Pvt Ltd,http://www.magellanlife sciences.com,,"Magellan Life Sciences™ Pvt. Ltd.focuses on next-generation vaccine engineering, therapeutics and recombinant food extracts.",Healthcare,Healthcare,Health-Tech,,B2B,Healthcare development,,,Hyderabad,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,ICICI Knowledge Park,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,VI,MagicPin,http://magicpin.in/home/,,"The Gurgaon-based hyperlocal discovery platform provides a platform for users and enables merchants in a locality, discover, interact and transact.",Technology,Software & Computer Services,Social Platforms,,B2B,Website for local contacts connect vendors,,,Delhi,,,Social platforms for industrial services,,,,,,,,,,Google Launchpad,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,VI,MagicTap,http://www.magictapsolutions.com/,,"Magictap offers a cloud based IOT platform to build mobile applications combining mobile,  proximity technology and analytic platform to connect physical media to digital content via NFC and QR codes.",Technology,Software & Computer Services,Software and Internet Services,,B2B,IOT cloud based,,,Mumbai,,,Cloud Infrastructure,,,,,,,,,,GSF Accelerator,04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,VI,Mart Mobi,http://martmobi.com,,"MartMobi is an innovative mobile technology company that enables the world’s leading eCommerce sites, Brands, Retailers to go instant mobile and tablet across all existing mobile platforms, enable seamless connectivity with their existing back-end systems, manage their own brand identity and all of this without the need to single line of code. developers use our API to build integrationMartMobi was been selected to US-based TechStars accelerator programme. MartMobi will leverage this opportunity to expand its footprint globally with strong focus on US expansion. MartMobi was started with seed capital from IIIT Hyderabad and later raised funding from BitChemy Ventures and Srini Koppolu. The company offers an end-to-end mobile commerce platform for online stores, brands and retailers to go mobile seamlessly. In addition they provide powerful analytics and marketing toolkit and deep shopping cart integrations. In May 2015, the company was acquired by Snapdeal.com.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Consumer Mobile Ecommerce platform,,,Hyderabad,,,Consumer Electronics,,,,,,,,,,"TechStars, BitChemy Ventures",05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,VI,Math Adventures,http://www.mathadventures.in/,,"Math Adventures Math Master Program makes learning maths fun, improving students' understanding and performance, and teachers' effectiveness.",Technology,Software & Computer Services,Edu-Tech,,B2C,Maths and other learning material,,,Mumbai,,,Online courses and resources,,,,,,,,,,Zone Startups India,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,VI,Mavin Technologies,http://www.mavin.co/,,"Mavin provides mobile internet strategic leadership for emerging markets. We are a team of former Google & Microsoft engineers and product ninjas who believe that the mobile internet is not just a great business platform, but a force for change in society. We believe in lowering the cost of mobile data and craft products that do just that. In May-2014 Mavin Technologies has received $75,000 investment from Qualcomm Ventures and Accel Partners as the runner-up of the competition. While we were unable to find a web presence for the company, Qualcomm says the company incentivises targeted prepaid smartphone users with mobile data by connecting them to advertisers.  Tandon Group also has invested in the target.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Mobile Application,,,"Palo Alto, CA",,,Internet and software development,,,,,,,,,,Investopad,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,VI,Maximl Tech,,,"IIT Madras has incubated Maximl Technologies,which specialises in optimizing industrial processes using data science. The company has created an Asset Performance Management software called SyncOps which enables planning, execution, co-ordination and database management for manufacturing plants",Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analysis,,,Chennai,,,Big Data Analytics and Machine learning,,,,,,,,,,IIT-Madras RTBI,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,VI,Meals on Wheels,http://mealsonwheels.in/,,Ant Farm has acquired online food delivery venture Meals on Wheels for a reported INR 11-14 crore.,Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,Online food delivery,,,,,,Food Services,,,,,,,,,,Ant Farm,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,VI,Meddiff Technologies,,,"Meddiff Technologies  is a tech-enabled healthcare platform that focusses on product development. Its products include Teleradiology, Picture Archiving and Communication Systems.",Healthcare,Healthcare,Health-Tech,,B2B,Healthcare Product development,,,Bengaluru,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,Microsoft Accelerator,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,VI,Media,,,Multimedia Technology & Web Development,Technology,Software & Computer Services,Software and Internet Services,,B2B,WebDev,,,Erode,,,DevOps,,,,,,,,,,KEC - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,VI,Medimojo,https://medimojo.in/aboutus.php,,"A digital health platform for simplifying healthcare. It aims at improving health outcomes by early detection and evidence-based treatment.    The company was earlier incubated at Startup Tunnel. The company raised INR 75 lakh from Ameera Shah, Managing Director & CEO - Metropolis Healthcare, in exchange of 33% equity on TheVault Show.",Healthcare,Healthcare,Health-Tech,,B2C,Diagnostics,,,Delhi,,,Diagnostics,,,,,,,,,,Pitney Bowes,08/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,VI,Meesho,http://www.meesho.com/,,"US-based startup accelerator YCombinator has inducted an app for sellers on Facebook and WhatsApp Meesho into its summer batch.  The accelerator invests $120,000 in startups for a 7% equity stake in the selected startups.   The Company was also incubated at Investopad.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Fashion,,,Bengaluru,,,Fashion,,,,,,,,,,YCombinator,07/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,VI,MeetUniv,https://www.meetuniv.com/,,MeetUniv offers college search and information for students looking at pursuing higher education abroad. The platform also provides personalized guidance and direct engagement with universities to its users. In May 2015 the company had raised funding from Peesh VC,Technology,Software & Computer Services,Edu-Tech,,B2C,college search engine,,,Noida,,,Online courses and resources,,,,,,,,,,TLabs,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,VI,MegDap,http://megdap.com,,"MegDap aims to bring the power of online commerce to the non-English speaking audience. In doing so, Megdap wants to create a technology platform, products and tools that enables real-time delivery of content in multiple local languages.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Language translating software,,,Bengaluru,,,Software services for consumers,,,,,,,,,,Rise Accelerator,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,VI,Meladath Auto Components,http://www.meladathauto.com/,,Bangalore-based automotive startup company focused on design and development of innovative compact overrunning clutch for two wheeler application.,Consumer_goods,automobile and parts,Consumer Products and Services,,B2C,Automobile seller and developer,,,Bengaluru,,,Automobiles & Auto Parts services,,,,,,,,,,Amrita - TBI,01/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,VI,Membrane Filters(india),,,"Membrane based water purification (at low pressures, no/low power requirements)",Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Water Purifier,,,Bengaluru,,,Household Products,,,,,,,,,,NCL - Venture Center,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,VI,Metaome Science Informatics,http://www.metaome.com/,,Metaome builds big data tools for life sciences sector. The company’s flagship product DistilBio combines proprietary graph search and data integration technologies to improve drug discovery. It was incubated at IIM Bangalore and has received seed funding from the Department of Information Technology. It has offices in Bangalore and Boston.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analysis,,,Bengaluru,,,Big Data Analytics and Machine learning,,,,,,,,,,Microsoft Accelerator,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,VI,Metwiz Materials,http://www.metwiz.in/,,"Metwiz Materials is developing powders for the thermal spray industry with end applications in Defence, Energy, Oil & Gas and other critical sectors.",Basic_Materials,Chemicals,Industrial and Business Products and Services,,B2B,Powder for thermal spray,,,Mumbai,,,Industrial Suppliers,,,,,,,,,,IIT-Bombay SINE,04/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,VI,MGH Labs,http://www.bogorchid.com,,"MGH Labs has invented a mosquito repellent machine Bogorchid where it can attract, catch & kill mosquitoes naturally. The product has gone through several test trials and can trap up to 800 Mosquitoes in a span of 3 days in a residential house in Chennai City.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Mosquito repellent,,,Chennai,,,Personal Products,,,,,,,,,,IIT-M,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,VI,MicroX Labs,http://www.microxlabs.com/,,"MicroX Labs has developed a technology to count the blood cells based on upcoming technology of Lab on Chip and MEMS (Micro electro mechanical systems) which miniaturises the instrument with all the reagents pre-loaded in the cartridge, providing ease of use, portability and low cost, making it useful for rural healthcare. Target name = Pratimesh Labs Pvt Ltd. In Oct-2016, the company was also incubated at IISc-SID.",Healthcare,Healthcare,Health-Tech,,B2B,Healthcare Product development,,,Bengaluru,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,Villgro,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,VI,MintM,http://www.mintm.com/,,MintM is an in-store customer engagement platform.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Marketing,,,Bengaluru,,,Buisness and Management consultancy,,,,,,,,,,Target Accelerator,04/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,VI,Miqasa Home Automation,http://miqasa.net,,"Amrita University’s Technology Business Incubator (TBI) has committed $350,000 in seed funding for five start-ups. Miqasa Home Automation. The company aims to bring innovative cost effective solutions in the smart switch boards and universal hub areas. It has already filed five patents.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Home Automation,,,Hyderabad,,,Furnishings & Home Construction,,,,,,,,,,Amrita - TBI,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,VI,Mobapper,http://www.mobapper.com,,Mobapper allows publishers create native mobile apps from WordPress sites.,Technology,Software & Computer Services,Software and Internet Services,,B2C,Website development software,,,Kochi,,,DevOps,,,,,,,,,,TLabs,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,VI,Mobident,http://www.mobident.in/,,"Mobident, owned and operated by Doux Dentistry Pvt. Ltd, is a dental care start-up aiming to make dental care affordable & accessible for patients at their homes under the brand name Mobident. It already has presence in four cities – Bangalore, Pune, Mysore, and Ahmedabad.",Healthcare,Healthcare,Health-Tech,,B2C,Dental service at home,,,Bengaluru,,,Paramedical services,,,,,,,,,,IIM-A CIIE,08/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,VI,Motomatix ,http://www.vahanalytics.com/#/,,"Mumbai-based Motomatix (Earlier Vahanalytics) has raised USD 200,000 (INR 1.3 crore) in a seed funding round from Venture Catalysts. The investment was led by Vikram Lakhotia, managing director of Standard Transport Corporation, and Anirudh Damani, partner at Artha India Ventures. The funds will be used to hire talent and upgrade the servers for better analytics. Urbtranz Technologies Pvt Ltd, which owns Motomatix, claims to deploy machine learning to capture real-time data about driving habits and road conditions.   The company was also incubated at Thinqbate in Oct-2016.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analysis,,,Mumbai,,,Big Data Analytics and Machine learning,,,,,,,,,,Venture Catalysts,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,VI,Movee,http://moveetech.com/,,"Building technology which provides smart phones with the highest quality video viewing experience for consumers, and the best measurement, analytics and ROI for advertisers and app-developers/owners.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Mobile Tech Solutions and development,,,Delhi,,,Communication services,,,,,,,,,,Investopad,08/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,VI,MoveInSync,http://www.moveinsync.com/,,MoveInSync works in the areas of managing employee transportation.,Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2B2C,Car pooling,,,Bengaluru,,,"Taxi Services, Automobile pooling & Travel",,,,,,,,,,Microsoft Accelerator,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,VI,Mr.Med,http://www.mrmed.in/,,Mr. Med provides a range of medical devices for online purchase and delivery.,Healthcare,Healthcare,Health-Tech,,B2C,Medical Devices sell,,,Delhi,,,Medical Equipment and Devices,,,,,,,,,,Startup Tunnel,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,VI,Msquare,http://www.msquaredesign.in/,,Target creates Apps for Retail Markets,Technology,Software & Computer Services,Software and Internet Services,,B2B,Mobile Application devopment,,,Ahmedabad,,,Internet and software development,,,,,,,,,,TREC - STEP,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,VI,Muggle Media,,,"Muggle Media believes in offering its clients a human touch – complete solutions for Search Engine Marketing, Social Media Marketing, Search Engine Optimisation, Content Marketing, Online Reputation management, Design & Development and Content development along with transparent reporting, client support, marketing and branding solutions.",Technology,Software & Computer Services,Software and Internet Services,,B2B,IT solutions,,,Gurgaon,,,IT Operations,,,,,,,,,,Investopad,08/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,VI,Mukunda Foods,,,Mukunda Foods Pvt. Ltd is into the design & development of automated food equipment for use in the Indian food retail segment,Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Food Products,,,Bengaluru,,,Food Products,,,,,,,,,,IAN Incubator,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,VI,MUrgency,http://murgency.com/,,"MUrgency Inc., an emergency response app firm, has raised funding from Axilor Ventures. Founded in 2014 by Shaffi Mather and Sweta Mangal, MUrgency is a mobile app that connects people who need emergency response in real-time. Besides, it also makes the nearest emergency responder (doctor, nurse, paramedic, ambulance, etc.) available to a person facing any emergency. The company will use the funds to develop the brand, recruit talent, enhance technology and scale operations.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Mobile Application,,,,,,Internet and software development,,,,,,,,,,Axilor Ventures,04/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,VI,MuSurvey,http://www.musurvey.in/,,"MuSurvey  is a vital tool for creating surveys, instant distribution and analyzing data. It is built with the core fundamentals that makes customer interaction and feedback simple, fast and intuitive.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Survey and data analysis,,,Coimbatore,,,Survey Services,,,,,,,,,,Paypal Start Tank,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,VI,My Child App,http://www.mychildapp.in,,"My Child App, which helps parents screen their chidren for mental disorders, has raised $100,000 led by 500Startups with participation from angel investors like Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, and Singapore Angel Network.",Healthcare,Healthcare,Health-Tech,,B2C,Childcare App,,,Bhopal,,,Healthcare Analytics and Software,,,,,,,,,,500 Startups,01/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,VI,My Cloud Portal,http://mycloudportal.in/,,Mycloudportal Technologies is a start-up with a vision of providing the best cloud management solution.,Technology,Software & Computer Services,Software and Internet Services,,B2B,cloud computing,,,Bengaluru,,,Cloud Infrastructure,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,VI,My-Dream-Wear,,,My-Dream-Wear is a mobile-only fashion technology platform for renting ethnic Indian designer wear,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2B,Rent Ethnic wear,,,Bengaluru,,,Online Rental,,,,,,,,,,Axilor Ventures,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,VI,MyBusTickets.in,http://www.mybustickets.in/,,"MyBusTickets.in is an online bus ticketing portal which claims to offer tickets from more than 20,000 bus services in 20 states. The company offers this service through a web app and an Android app.",Consumer_services,Travel and Leisure,Internet marketplace and eCommerce,,B2C,Bus Booking,,,Hyderabad,,,Booking,,,,,,,,,,Microsoft Accelerator,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,VI,mydermacy,https://mydermacy.com/,,"MyDermacy.com is your personal skin care expert, an innovative platform to connect people seeking skin care, with professionals. As an unbiased marketplace, MyDermacy.com aims to help its users find the most effective skin care solution for every skin concern and skin type, in the easiest possible manner.A dermatologist is one of the most valued professional amongst us, and a key member on the platform. MyDermacy.com has been conceptualised keeping in mind the convenience and safety with which a dermatologist can offer their services through the platform, whilst bring them much closer to their clients.",Healthcare,Healthcare,Health-Tech,,B2C,Skincare,,,Delhi,,,Fitness & Wellness,,,,,,,,,,Investopad,02/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,VI,MyPoolin,https://mypoolin.com/,,Peer to Peer Payment Network. Received $250k from Qualcomm QPrize.,Financials,Financial services,Fin-Tech and Payments,,B2C,Money Pooling,,,Delhi,,, Banking and Non Banking Financial services,,,,,,,,,,Investopad,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,VI,MyPrivateTutor.com, https://www.myprivatetutor.com,,"MyPrivateTutor.com is run by Calcutta-based Brishti Technologies, an online platform which allows tutors and tutorial centers to register their profiles on the site for students. In 2015 the site covered over 65 cities in India and 12 countries abroad.",Technology,Software & Computer Services,Edu-Tech,,B2C,Tutoring,,,Calcutta,,,Tuitions and Tutors,,,,,,,,,,IIM-C,09/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,VI,Mytaxiindia,http://www.mytaxiindia.com/,,"INR 0.63 Cr Green House Ventures invested INR 0.63 Cr for 22.22% stake  Pricing detail: Equity: FV = INR 10, Issue price = INR 2195.95  On Oct 10, 2015, issue of 2893 shares to Green House Ventures  In the same month, target also received Pre-series A funding of INR 3.18 Cr from Japanese travel major Nihon Kotsu Travel Service Co.   Mytaxiindia.com is an online car rental start-up with a fleet size of 4,000 taxis in 102 cities and offers chauffeur drive services for personal and business requirements. The company follows an affiliate business model rather than an owner or aggregator model.",Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2C,Renting Taxi,,,Gurgaon,,,"Taxi Services, Automobile pooling & Travel",,,,,,,,,,Green House Ventures,06/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,VI,Najdik,,,Najdik is a groceries and essentials marketplace serving needs specific to the South Indian community in Gurgaon.,Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,Groceries,,,Gurgaon,,,Online Grocery,,,,,,,,,,NUMA Accelerator,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,VI,Nanosniff Technologies,http://www.nanosniff.com/,,"Nanosniff Technologies Pvt Ltd develops products and solutions in the Nanotechnology domain. The company intends to work on Micro Cantilever based detectors, for on-field, real time & highly sensitive detection of commonly used explosives at a significant lower cost than currently available trace based explosive detectors.",Technology,Technology Hardware & Equipment,Technology,,B2B,Nanotechnology,,,Mumbai,,,Nanotechnology,,,,,,,,,,IIT-Bombay SINE,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,VI,Navstik Labs,http://navstik.org/,,"Navstik Labs offers an operating system for drones. This serves as a platform for developers to build applications for drones such as precision agriculture, delivery, surveys, inspections, etc. The products built by NavStik are being used by 40+ customers in 10+ countries to power a wide range of drones and unmanned vehicles.",Technology,Technology Hardware & Equipment,Technology,,B2B,Drones,,,Pune,,,Drones,,,,,,,,,,Cisco LaunchPad,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,VI,NeoMotion Assistive Solutions,,,"NeoMotion makes Assistive Devices to create an impact in the lives of people with disability and the elderly. NeoBolt and NeoRider, the initial products of the company, are add-on devices that enable wheelchair users to go outdoors conveniently by attaching to their wheelchairs in less than 2 seconds.",Healthcare,Healthcare,Health-Tech,,B2B2C,Medical Devices sell,,,Chennai,,,Medical Equipment and Devices,,,,,,,,,,IIT-M,11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,VI,Neotrade,http://www.neotradeanalytics.com/,,"Neotrade Analytics, a Bangalore-based startup that distributes real-time data to traders and trading bodies, raised its first institutional funding of INR 1.5 crore from startup incubator and fund Rainmatter. The company will use the funds to build a digitised trading solutions product to help traders build strategies and on marketing.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analysis,,,Bengaluru,,,Big Data Analytics and Machine learning,,,,,,,,,,RainMatter,09/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,VI,Neuron,http://neuronme.com/,,"Neuron is a big data tool which examines a brands social presence on Instagram, Twitter, Facebook and Pinterest and claims to find potential customers who might be interested in their products.    In July-2016, Neuron, raised an angel funding of $200,000 led by Harvinder Singh Bhatia, CFO Netmagic & Founder of Radiowala. The company plans to use the funds for its R&D in machine learning and natural language processing to develop deep learning models.   In Oct-2016, the company was incubated at Rise Accelerator.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analysis,,,Noida,,,Big Data Analytics and Machine learning,,,,,,,,,,TLabs,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,VI,NewsBytes,http://newsbytesapp.com/,,NewsBytes provides concise news along with logic-driven sentiments with contextual timelines.,Consumer_services,Media,"Media, Advertising and Gaming",,B2C,News,,,Ghaziabad,,,Media,,,,,,,,,,GSF Accelerator,04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,VI,Nextsky Technologies,http://www.nxtsky.com,,"Amrita University’s Technology Business Incubator (TBI) has committed $350,000 in seed funding for five start-ups. Nextsky builds analytic software which gives brief technical insights about all operations an trends in an organization.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Software Developer,,,Aurangabad,,,Internet and software development,,,,,,,,,,Amrita - TBI,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,VI,nFiver Machineries,http://www.nfiver.com,,"The company's product K-machines are autonomous, programmable devices that can perform everyday tasks by users on the move through Smart phone.  The company is currently developing a Automatic wet grinder.",Technology,Technology Hardware & Equipment,Technology,,B2C,Wet grinder selling,,,Chennai,,,Electronics,,,,,,,,,,IIT-M,12/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,VI,Niche.ai,,,"Avishkar, the incubator run by the Indian Institute of Information Technology, Hyderabad (IIIT-H) has seed-funded five early stage startups with INR 10 lakh each. The accelerator would take up 2% equity stake in the start-ups by converting its convertible debentures at a later stage. Niche.ai, a visual informatics products supplier for computer vision ecosystem,",Technology,Software & Computer Services,Software and Internet Services,,B2B,Website developer,,,Hyderabad,,,DevOps,,,,,,,,,,IIIT-H,01/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,VI,NiftyWindow,https://www.niftywindow.com/,,A content marketing platform which delivers content via virtual display windows and interactive products and services catalogs.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Online Marketing,,,Bengaluru,,,Buisness and Management consultancy,,,,,,,,,,Microsoft Accelerator,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,VI,Niki,http://niki.ai/,,"It is an artificial intelligence-powered bot that simplifies the ordering experience. It helps users book cabs, order food, recharge, pay postpaid, electricity, datacard, DTH bills and much more simply via chatting.",Technology,Software & Computer Services,Software and Internet Services,,B2B2C,Chatbot,,,Udaipur,,,Big Data Analytics and Machine learning,,,,,,,,,,Pitney Bowes,08/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
